YEAR,TYPE,TITLE_EN,IMAGES/PDF,VIDEOS,AUDIO,TITLE_FR,ARTISTS,DESCRIPTION_EN,DESCRIPTION_FR,RECURRING_TITLE_EN,RECURRING_TITLE_FR,RECURRING_DESCRIPTION_EN,RECURRING_DESCRIPTION_FR,,COMMENTS
2010,EVENT,Attempts of Her Life,/EVENTS/2010/Attempts-on-Her-Life,,,Attempts of Her Life,"Joseph Bembridge
Atli Bollasom
Joshua Bradbury-Klyman
Camila Contreras
Marion Degeorges 
Jeff Ho
Peggy Hogan 
Mitra Kaboli 
Nora Rosenthal 
Bryn Symonds",,,,,,,,
2014,EVENT,Back to school event,x,,,Évènement de la Rentrée,"Bataille Solaire
Karneef
Country
DJ ///
Aziz!Light-Crew","A fun-party-birthday-BBQ-start-of-the-cultural-season filled day at Eastern Bloc! 

Eastern Bloc is inviting you to spend your Saturday, September 27th with us! To celebrate the start of the new cultural season and our seventh anniversary, we've put together a wild birthday party: part show, part dance-floor, part bbq, part garage sale! 

Also, because we need our community’s support, we are celebrating, yes, but with a twist, a fundraising twist. Austerity budgets are what they are in the cultural sector: worrying and unrelenting. For artist-run centres, even more so, and perhaps, even more for a young centre like Eastern Bloc, which has experienced financial difficulties since its establishment. As such, we wish to continue, as per usual, to honour our mandate in the years to come, and perhaps even develop new projects, new ways of experimenting, and evolving fields of exploration, because, above all, we defend creativity and innovation in all aspects of our programming. 

","Toute une journée-fun-party-anniversaire-rentrée-culturelle à Eastern Bloc ! 

C'est avec plaisir que nous vous invitons à passer la journée du samedi 27 septembre avec nous ! À l'occasion de cette nouvelle rentrée culturelle et de notre 7e anniversaire, nous avons concocté une programmation d'activités diverses. 
C'est aussi parce que nous avons besoin de votre soutien. Alors nous célébrons, mais nous célébrons en faisant une levée de fonds. Les budgets austères sont ce qu'ils sont dans le secteur artistique et pour les centres d’artistes autogérés, ce n'est pas nouveau, et particulièrement pour les arts numériques peut-être, et pour Eastern Bloc encore plus particulièrement, qui, en tant que jeune centre d’art, connaît une situation financière pour le moins délicate. Hors, nous aimerions pouvoir continuer, comme nous le faisons, à honorer notre mandat dans les années à venir, et même à développer de nouveaux projets, de nouvelles expérimentations, explorations, et nouvelles évolutions, parce que nous défendons avant tout l'innovation et la créativité dans chacune de nos démarches. 
",,,,,,
2010,EVENT,Blackops,"/EVENTS/2010/Blackops",,,Blackops,"Sunken Skulls 
GRKZGL 
Monstre 
AkaThePooh
DJ ////
Taxi Nouveau","Lightless sound at Eastern Bloc.
Live electronics and noise performances.",,,,,,,
2018,EVENT,"Book of Neoism?!, The",x,,,The Book of Neoism?!,Istvan Kantor ,"This bible size book reveals the insurgent anti-credo of Neoism?!: six volumes of unexpurgated decibels of thrilliant subvertainment, uncountable definitions, self-interrogation, epic impure nonsense, audacious plunder performance, synthetic-wave narrative, pulp-fiction dogma, precisely calculated mathematical formulae, agitprop porn liturgy, fathomless psychoactive claptrap, infinite manifesto of Neoism?! to the point of torture and insanity.

The author of this book, a false-prophet and plunderground ideologist of Neoism?!, is only known by his “nom de guerre”: Amen. (Amenperiod). Escaping authorities, in’n’out of prisons and asylums, Amen. lived the life of a fugitive. He created this “opus magnum” in the captivity of the 90s, the years of repression and growing authoritarianism. Not owning a computer, he diligently worked on the book at public libraries and community centers. Deleted all digital files and only kept printed copies.

He extended the term Neoism with question and exclamation marks to accentuate the undefinable nature and the “All or Nothing!” desperation of Neoism?!. Using an extreme “fuck-up method,” he plundered ideas from countless sources, from the Epic of Gilgamesh to the Complete Idiot’s Guides. He robbed the intellect of philosophers, writers, poets, artists, composers, political leaders, scientists, sex workers, revolutionaries, pop-stars and criminals. Appropriately, after finishing the book in 2001 he suddenly vanished from sight. His manuscript was thought to be lost forever. Miraculously it was found a couple of years ago at a Value Village thrift store in Toronto. His complete works were squeezed into a metal first aid kit box spray painted with a stencil sign “CRIME”.","Ce livre de taille biblique révèle l’anti-crédo insurgé du Néoisme?!: six volumes de décibels inexpurgés de subvertissements, de définitions incontournables, d’interrogations sur soi-même, de non-sens impure et épique, de performance audacieuse de pillage, de narration “new-wave synthétique”, de dogme “pulp-fiction”, de formule mathématique précise et calculée, de liturgie “d'agitprop” pornographique, de bla-bla psychoactif insondable, un manifeste infini du Néoisme?! jusqu'à la torture et la folie.

L'auteur de ce livre, un faux prophète et idéologue du Néoisme?! ""plunderground"", est seulement connu de son nom de guerre : Amen. (Amen point barre). Échappant aux autorités, celui-ci a adopté une vie de fugitif, vivant à la fois en dedans et en dehors de prisons et asiles. Il a créé ce ""magnum opus"" dans le cours des années 90 où la répression et l'autoritarisme grandissaient à vue d’oeil. Ne possédant pas d’ordinateur, il a travaillé d’arrache-pied à partir de ceux des bibliothèques publiques et centres communautaires. Puis il a effacé tous les fichiers en ne gardant seulement que des copies papier.

Il a rajouté un point d’interrogation et un point d’exclamation au terme “Néoisme?!” afin d’accentuer la nature indéfinissable du ""tout ou rien!"" propre au Néoisme. En utilisant la méthode extrême du ""fuck-up”, il a pillé des idées d’un nombre incalculable de sources, en passant par L’Épopée de Gilgamesh jusqu’aux fameux Livres pour les Nuls. Il a volé l'intellect de philosophes, écrivains, poètes, artistes, compositeurs, leaders politiques, scientifiques, travailleurs du sexe, révolutionnaires, pop-stars et criminels. Après avoir terminé son livre en 2001, il a disparu de la circulation. On a cru que son manuscrit était perdu pour toujours. Miraculeusement, il a été retrouvé il y a quelques années sur les étagères de Village des Valeurs (articles de seconde main) à Toronto. Ses oeuvres complètes ont été rassemblées dans un kit en métal de premiers soins en métal peinte du mot “CRIME”.",,,,,,
2011,EVENT,BRING THE KIDS,x,,,BRING THE KIDS,Annabelle Chvostek ,,,BRING THE KIDS,BRING THE KIDS,Bring the Kids is a series of concerts for families and the community at large. The concerts will feature a variety of local musicians and bands.,Les productions Bring the Kids présentent une série de concerts mensuels destinés aux familles et à la communauté en générale. Les concerts mettront en vedette une panoplie de musiciens et de groupes locaux.,,
2011,EVENT,BRING THE KIDS,x,,,BRING THE KIDS,Lake of Stew,,,BRING THE KIDS,BRING THE KIDS,Bring the Kids is a series of concerts for families and the community at large. The concerts will feature a variety of local musicians and bands.,Les productions Bring the Kids présentent une série de concerts mensuels destinés aux familles et à la communauté en générale. Les concerts mettront en vedette une panoplie de musiciens et de groupes locaux.,,
2011,EVENT,BRING THE KIDS,x,,,BRING THE KIDS,Tricot Machine,,,BRING THE KIDS,BRING THE KIDS,Bring the Kids is a series of concerts for families and the community at large. The concerts will feature a variety of local musicians and bands.,Les productions Bring the Kids présentent une série de concerts mensuels destinés aux familles et à la communauté en générale. Les concerts mettront en vedette une panoplie de musiciens et de groupes locaux.,,
2011,EVENT,"BRING YOUR OWN BEAMER :
AFTER-EVENT",x,,,"BRING YOUR OWN BEAMER :
APRÈS-ÉVÉNEMENT","Matt Goerzen
Tyson Parks
Jason Harvey
Julian Garcia","Following the ""Bring Your Own Beamer"" event in Montreal at the Canadian Center for Architecture, Eastern Bloc will welcome participating artists and guests for a post-event event during which the team of BOCA gallery will provide music and visuals.","Pour faire suite à l’événement « Bring Your Own Beamer » qui aura lieu à Montréal pour la première fois au Centre Canadien d’Architecture, Eastern Bloc recevra les artistes participants et leurs invités pour un après-événement pendant lequel l’équipe de la galerie BOCA fourniront musiques et visuels. ",,,,,,
2013,EVENT,Bus Trip to Sporobole,x,,,Voyage En Autobus À Sporobole,"DOMINIC GAGNON
CATHERINE PRÉFONTAINE
ALAIN BERRY","The bus trip between Eastern Bloc and Sporobole materializes the idea of an exchange of knowledge and perspectives, as approached in the context of ""Carrier Pigeon,"" group exhibit featuring the work of Zeesy powers and Dominic Gagnon.

This new collaboration between our two centres seems unavoidable to us as our programming is often complementary and echoes similar issues at play in contemporary art.

At Sporobole, we will visit the solo exhibit ""Postillons / Intempéries du langage"" by artist Catherine Préfontaine and attend a conference on sound pollution by Alain Berry. Préfontaine is interested in the visual schematization of non-visual natural phenomena. By the implied filter of the body as both barrier and receptacle, she probes the integrity of the human body that digs its heels into the sensorial invasions of the world. ""Postillons / Intempéries du langage"" proposes an installation whereby the artist invests herself in the practice of drawing within a site-specific work. Space is approached as a recording of sensorial perceptions. The installation can be seen as the amplified field of the tormented clamour of a deafened world.","Le voyage entre Eastern Bloc et Sporobole matérialise cette idée d’échange de connaissances et de points de vue, abordée dans l'exposition Pigeon Voyageur, avec les oeuvres de Zeesy Powers et de Dominic Gagnon.
Cette nouvelle collaboration entre nos deux centres apparaît comme incontournable puisque nos programmations sont très souvent complémentaires et se font échos.

Chez Sporobole, nous ferons la visite de l'exposition solo de Catherine Préfontaine, ""Postillons / Intempéries du langage"", et nous assisterons à une conférence sur la pollution sonore, présentée par Alain Berry. Préfontaine s’intéresse à schématiser visuellement des phénomènes de nature non visuelle.C’est par le filtre sous-entendu du corps comme barrière et comme réceptacle qu’est sondée l’intégrité de l’être humain qui se bute aux envahissements sensoriels du monde. Postillons / Intempéries du langage propose une installation où l’artiste s’investit dans la pratique du dessin avec une oeuvre in situ. L’espace est abordé comme un enregistrement des perceptions sensorielles. L’installation peut se voir comme un champ amplifié de la clameur tourmentée d’un monde assourdi.

",,,,,,
2013,EVENT,Café-Citoyen with Culture Montréal,x,,,Café-Citoyen avec Culture Montréal,,"Culture Montréal is pleased to invite you to a morning of presentations and workshops on the theme of cultural neighbourhoods, during which the main orientations of an action plan, developed during various Café-Citoyens throughout 2012, on the development of cultural neighbourhoods will be unveiled.

The morning of the 16th continues the dialogue and reflection initiated several months ago by Culture Montréal and aims to mobilize artists, citizens, as well as the driving force behind the cultural neighbourhoods initiative and other local development projects (areas of business, education, community, among others), in the hopes of sparking a concrete engagement towards the development of cultural neighbourhoods.","Culture Montréal est heureux de vous convier à une matinée de présentations et d'ateliers sur le thème des quartiers culturels, au cours de laquelle vous seront dévoilées les grandes orientations d'un projet de plan d'action pour le développement des quartiers culturels, élaboré à partir des réflexions issues de la série de Cafés citoyens organisés dans plusieurs arrondissements et territoires de la métropole au cours de l'année 2012.

La matinée du 16 mai s'inscrit dans la continuité du travail de concertation et de réflexion collective entamé depuis plusieurs mois par Culture Montréal, et vise à mobiliser les artistes, les citoyens et les forces vives des milieux culturel et du développement local (milieu des affaires, de l'éducation, milieu communautaire, entre autres) dans l'objectif de susciter un engagement concret envers le développement des quartiers culturels.",,,,,,
2011,EVENT,CHŒUR MAHA,x,,,CHŒUR MAHA,CHŒUR MAHA,"The Maha Choir presents a multimedia event focused on Maha's 20 years of existence. The eclectic talent of current and former Maha Choir members will be featured at this event. The concert will include original pieces from the choir's creative repertoire and will also include pieces from their extensive repertoire from over the last 20 years.

",Le Chœur Maha présente un évènement multimédia axé autour des 20 années de talents de Maha. Le talent éclectique des anciennes et actuelles membres du Chœur Maha sera mis en vedette lors de cet évènement. Le concert intégrera des pièces inédites issues du répertoire créatif du chœur et inclura également des morceaux du large répertoire constitué par le chœur au cours de ces 20 dernières années.,,,,,,
2012,EVENT,Christian Enfant Roi,/EVENTS/2012/Christian-Enfant-Roi,,,Christian Enfant Roi,,,,,,,,,
2011,EVENT,Cine-club Le Phosphène,/EVENTS/2011/Cine-club,,,Cine-club,Pierre Hébert,,"Pour sa prochaine soirée, Le PhOsphène offre un programme double. Devenue un grand classique, la première oeuvre a été censuré lors de sa sortie en 1959 et a trouvé vie grâce aux réseaux des ciné-clubs de l'époque. La seconde, sortie il y a trois ans, n'a toujours pas de distributeurs malgré son caractère innovateur et surprenant. Venez voir Hiroshima mon amour d'Alain Resnais suivi d'Un lac de Philippe Grandrieux et voyons ensemble si les ciné-clubs valent toujours la peine d'exister malgré les téléchargements et les vidéos sur demande.",,,,,,
2009,EVENT,Cool Fest 9 Sound Light Event,x,,,Cool Fest 9 Sound Light Event,"Lori Napoleon 
Bill Nace 
Mother Earth 
Clyde (sister) solo
Sick Llama 
Cotton Museum 
Yamantaka//Sonictitan 
Total Crush 
Monday Morning Erection 
Cat Pontoon ","Fluorescent Friends present an experience in sound and light, a benefit concert exploring synesthesia. The best in new music from Montreal, Toronto, Ottawa, Detroit, and New York City.",,,,,,,
2009,EVENT,"Cyc, Le",/EVENTS/2009/Le-Cyc,,,"Cyc, Le",,,,,,,,,
2010,EVENT,"Cyc, Le",/EVENTS/2010/Le-Cyc,,,"Cyc, Le","Kazoo! 
Polydactyl Hearts ",,,,,,,,
2009,EVENT,Dan Deacon: Nuclear Power Plants,x,,,Dan Deacon: Nuclear Power Plants,,,,,,,,,
2010,EVENT,Dane Richards ,/EVENTS/2010/Dane-Richards,,,Dane Richards,Dane Richards,"Fashion ShowFashion Show

Photo Credit: Jérôme Suard","Parade de Mode

Crédit Photo: Jérôme Suard ",,,,,,
2017,EVENT,Desire That Crosses You,x,,,"Désir Qui Te Traverse, Le",,,,,,,,,
2017,EVENT,DeuXX,x,,,DeuXX,,"DeuXX is a brand new monthly screening series based in Montreal, championing women in film by presenting works by female filmmakers.

Screenings will consist of single or double bills of fun, fierce films, taking place in the fantastic artist-run gallery Eastern Bloc, located in the heart of the Mile-Ex. Come for the female gaze, stay for the drinks and the bean bag chairs!","DeuXX est un tout nouveau cycle de projection basé à Montréal, visant à mettre à l'honneur le cinéma au féminin en présentant des films réalisés par des femmes.

Les projections consisteront de programmes simples et doubles d'oeuvres excitantes et provocatrices, dans la fantastique galerie Eastern Bloc, située au coeur du secteur Mile-Ex. Venez célébrer le regard féminin et prendre un verre en bonne compagnie dans une ambiance ludique et décontractée !",,,,,,
2017,EVENT,Digital Auction - 1st Anniversary,x,,,Encan numérique - 1er anniversaire,,,"La fin août marque notre premier anniversaire de naissance. Pour célébrer cette fabuleuse année d’existence, Galerie Galerie s’associe avec Eastern Bloc et Pantoum Records afin de vous présenter une soirée programme TRIPLE.

40 oeuvres numériques mises aux enchères à un prix initial de 20$. L'encan aura notamment pour objectif de faire découvrir le travail d'artistes locaux, mais aussi de conscientiser le public à l'achat d'art numérique à l'aide d'une formule accessible à tous! Tous les fond amassés lors de cette soirée serviront à la réalisation des projets de production et de diffusion à venir de Galerie Galerie. 

Tout au long de la soirée, venez faire l'expérience de deux installations intéractives issues d'un nouveau volet de notre mandat, lequel vise à accueiller/conserver/hoster des projets web de façon permanente sur notre plateforme (#collectionspermanentes).
",,,,,,
2016,EVENT,DJ-Q,/EVENTS/2016/DJQ,,,DJ-Q,"ME FLOAT
ROGER TELLIER-CRAIG
KLONDIKE
PHILIPPE VANDAL
CRÉPUSCULE SOLAIRE
SEBASTIAN TRAFALGAR
GUILLAUME VALLÉE","Eastern Bloc is happy to announce the launch of DJ-Q, a new series of weekly events to discover new sounds all throughout the summer season.

Come feast and drink while discovering the work of artists and DJs in our newly redone back alley. Each Thursday will be specially curated for your summer sunsets.

Each week, a new artist/DJ collective is given carte blanche to create an event customized to their image. Beer, wine, sangria will be available. Hot-dogs + corn on the cob on the BBQ.

","Eastern Bloc est heureux d’annoncer le lancement de DJ-Q, une nouvelle série d’événements hebdomadaires parfaite pour découvrir de nouveaux sons durant la période estivale.

Venez vous régalez et boire tout en profitant du travail collectif d’artistes et DJs, à l’extérieur, dans le décor rustique de notre ruelle et des nouveaux arrangements spécialement conçu pour vous recevoir cet été. Chaque jeudi est spécialement organisé pour accentuer vos couchers de soleils montréalais. 

Chaque semaine, un nouveau collectif d’artistes et DJs se font donner carte blanche pour la réalisation d’un événement à leur image. Bière, vin, sangria seront disponible sur place. Hot-dogs + blé d’inde sur BBQ. 
",,,,,,
2017,EVENT,DJ-Q 1,x,,,DJ-Q 1,Janime Jeanine,"DJ-Q’s are back this summer! Eastern Bloc is happy to announce the launch of this second season of the [DJ + BBQ] series. Once again this year, come hang out in our back courtyard with friends and family.

New this summer, the DJ-Q series is kid-friendly! There will be outdoor games for kids (and adults). Come for a lazy, sun-soaked afternoon, while discovering new music by local artists and DJ collectives. Come eat and drink under a setting sun! Beer, wine, sangria, veggie-dogs and corn on the cob, grilled on the BBQ and available on site. In case of rain, the event will take place indoors.


","Eastern Bloc est heureux d’annoncer le lancement des DJ-Q pour la saison estivale ! Pour un second été, nous vous proposons le combo [DJs + BBQ] dans notre cour arrière, spécialement aménagée de tables de pique-nique et de jeux extérieurs pour enfants.

Venez avec vos amis ou en famille vous détendre et vous distraire en journée par de nouvelles sonorités composées par des collectifs d’artistes et DJs locaux qui vous feront découvrir leur musique. Vous pourrez également vous régaler et boire tout en profitant du soleil ! Bière, vin, sangria, veggie-dog et blé d’inde seront disponibles sur place pour satisfaire vos papilles. En cas de pluie, l'événement aura lieu à l'intérieur. ",,,,,,
2017,EVENT,DJ-Q 2,/EVENTS/2017/DJQ2,,,DJ-Q 2,"Modular Mondays
Frankie Teardrop
susy.technology","Come hang out in our back courtyard with friends and family. New this summer, the DJ-Q series is kid-friendly!

There will be outdoor games for kids (and adults). Come for a lazy, sun-soaked afternoon, while discovering new music by local artists and DJ collectives. Come eat and drink under a setting sun! Beer, wine, sangria, veggie-dogs and corn on the cob, grilled on the BBQ and available on site. In case of rain, the event will take place indoors.
","Cet été, nous vous proposons le combo [DJs + BBQ] dans notre cour arrière, spécialement aménagée de tables de pique-nique et de jeux extérieurs pour enfants.

Venez avec vos amis ou en famille vous détendre et vous distraire en journée par de nouvelles sonorités composées par des collectifs d’artistes et DJs locaux qui vous feront découvrir leur musique. Vous pourrez également vous régaler et boire tout en profitant du soleil ! Bière, vin, sangria, veggie-dog et blé d’inde seront disponibles sur place pour satisfaire vos papilles. En cas de pluie, l'événement aura lieu à l'intérieur. 
",,,,,,
2017,EVENT,DJ-Q 3,/EVENTS/2017/DJQ3,,,DJ-Q 3,"SDMR
Best Fern
Bathio
Me Float

","For the last time of this year, come hang out in our back courtyard with friends and family. New this summer, the DJ-Q series is kid-friendly!

There will be outdoor games for kids (and adults). Come for a lazy, sun-soaked afternoon, while discovering new music by local artists and DJ collectives. Come eat and drink under a setting sun! Beer, wine, sangria, veggie-dogs and corn on the cob, grilled on the BBQ and available on site. In case of rain, the event will take place indoors.","Pour une dernière fois cet été, nous vous proposons le combo [DJs + BBQ] dans notre cour arrière, spécialement aménagée de tables de pique-nique et de jeux extérieurs pour enfants.

Venez avec vos amis ou en famille vous détendre et vous distraire en journée par de nouvelles sonorités composées par des collectifs d’artistes et DJs locaux qui vous feront découvrir leur musique. Vous pourrez également vous régaler et boire tout en profitant du soleil ! Bière, vin, sangria, veggie-dog et blé d’inde seront disponibles sur place pour satisfaire vos papilles. En cas de pluie, l'événement aura lieu à l'intérieur. ",,,,,,
2009,EVENT,Domestik,/EVENTS/2009/Domestik,,,Domestik,"Don Bapst
Christopher Charles Cavener
Jihan Crowther
Sophie Gee 
Karine Lefebvre 
Carlo Mestroni 
Chimwemwe Miller 
Nervous Hunter
Neil Scotten
Leigh Ann Taylor
Shannon Topinka 
Jacqueline van de Geer
Rebecca Wojciechowski",,,,,,,,
2010,EVENT,Eastern Bloc Winter Fundraiser,/EVENTS/2010/,,,Levée de fonds hivernale du Eastern Bloc,"Meat Parade
Blake Hargreaves
Ouananiche
Vj Ch",,,,,,,,
2009,EVENT,Echoes Still Singing Limbs,/EVENTS/2009/Echoes_still_singing_limb,,,Echoes Still Singing Limbs,"Echoes Still Singing Limbs
Paper Beat Scissors
Holy Oak
Jonathan Beaver 
Jim Holyoak
",,,,,,,,
2009,EVENT,Edgy Women,/EVENTS/2009/Edgy_Women,,,Edgy Women,,,,,,,,,
2009,EVENT,Elephantasy,/EVENTS/2009/Elephantasy,,,Elephantasy,,,,,,,,,
2008,EVENT,Émilie Sigouin,/EVENTS/2008/Emilie_Sigouin,,,Émilie Sigouin,Émilie Sigouin,Performance,,,,,,,
