YEAR;TYPE;TITLE_EN;IMAGES/PDF;VIDEOS;AUDIO;TITLE_FR;ARTISTS;DESCRIPTION_EN;DESCRIPTION_FR;AUTRE MÉDIA;RECURRING_TITLE_EN;RECURRING_TITLE_FR;RECURRING_DESCRIPTION_EN;RECURRING_DESCRIPTION_FR;;COMMENTS
2010;EXHIBIT;Resonances ;/EXHIBITS/2010/Resonances;;;Resonances ;"Sabrina Ratté
Roger Tellier-Craig
Michael Shu
Emily Gan";Exhibit of interdisciplinary installation by Eastern Bloc volunteer Emily Gan.;Exposition d'installations interdisciplinaire d'une de nos bénévoles : Emily Gan.;;;;;;;
2011;EXHIBIT;AGIR / ART DES FEMMES EN PRISON;x;;;Agir;"Carole Laure
Devora Neumark";"Full of humanity, subtle yet complex, the audiovisual works presented in AGIR are born of a collaboration between 49 incarcerated women – approached by virtue of their unique experiences – and 8 professional artists – invited into the province’s main detention centres.

The works created explore the link that exists between incarceration and poverty in its many forms: economic, social, familial, cultural and emotional. AGIR, presented by Société Elizabeth Fry du Québec and Engrenage Noir / LEVIER, exposes the individual plights of women who are in conflict with the law and allows us to interact with them in ways that contradict the usual stereotypes, that is, in an artistic context.
";"Sensibles et empreintes d’humanité, les œuvres audiovisuelles présentées dans AGIR / ART DES FEMMES EN PRISON sont nées d’une collaboration entre 49 femmes incarcérées, approchées pour la singularité de leurs vécus, et 8 artistes professionnels, invités en établissements de détention.

Leurs œuvres explorent le lien qui existe entre l’incarcération et la pauvreté dans ses différentes formes, économique, sociale, familiale, culturelle ou affective. Cette exposition, présentée par la Société Elizabeth Fry du Québec et Engrenage Noir / LEVIER, lève le voile sur les luttes individuelles de femmes en conflit avec la loi et nous permet de les découvrir au-delà d’un délit, d’une sentence ou des stéréotypes, dans un contexte artistique.";;;;;;;
2011;EXHIBIT;Backtalk: Fibres Exhibit;x;;;Répartie: Expositions des Fibres ;"Sarah Al-Mousawi
Amélie Arès
Madeleine Pippa Bartlett
Katie Earle
Ariane Lavoie
Jessica Lemus-Coto
Marie-Pier Malouin
Barbara Mendoza Denis
Olivia Mew
Adrienne Pratt";A group exhibition featuring 10 emerging artists from Concordia University’s Advanced Level Fibres Class using traditional textile mediums within a contemporary art practice.;Une exposition collective de 10 artistes du programme avancé de textiles de l’Université Concordia. Ils utilisent les mediums traditionnels du textile avec une perpsectve contemporaine.;;;;;;;
2011;EXHIBIT;Empty City, the;/EXHIBITS/2011/Empty_city;;;The Empty City;Rebecca Adorno;"“The Empty City” is an interactive sound installation in the form of a miniature city, in which buildings emit pre-recorded sounds, or memories of a city.
The work aims to engage the viewer in a contemplative state of mind and create a shelter for those who wish to escape their everyday realities. Adorno’s city becomes a space of reinterpretation of the self, a space in which a void is filled with sound.

For Adorno, sounds of the cities she lives in register as memories. Each sound can be a trigger towards metaphorical time travel. By creating an interface that allows the spectator to experience the city through the ebb and flow of the sound and light – our own memories of the cities we inhabit will morph with the soundscape Adorno has created.";"« The Empty City » est une installation interactive qui représente une ville miniature dans laquelle les édifices émettent des sons préenregistrés, ou des souvenirs d’un environnement urbain. L’œuvre vise à engager le spectateur dans un état contemplatif et à créer une échappatoire des réalités routinières. La ville déserte d’Adorno devient un espace pour la réinterprétation de soit, un espace où le vide est rempli par le son.

Le son des villes où Adorno habite s’enregistre en elle comme des souvenirs. Chaque son peut déclencher la métaphore d’un voyage dans le temps. En créant une interface qui permet au spectateur de vivre l’expérience de la ville comme une marée de sons et de lumières qui arrivent et repartent, les souvenirs des villes que nous avons habitées se métamorphosent avec la trame sonore créée par Adorno.

Rebecca Adorno, née au Porto Rico, est une vidéographe et artiste en installation audiovisuelle basée à New York. Son travail explore la déconstruction de narratifs linéaires et la création de compositions aléatoires qui engagent le spectateur dans un discours conceptuel et musical. Les œuvres d’Adorno sont exposées au Porto Rico, en Argentine, en République Dominicaine et à New York, et sont aussi présentes dans la collection permanente du Musée des beaux arts de Ponce. Elle a complété sa maitrise en Computer Arts à New York à l’institution School of Visual Arts, où elle a aussi travaillé en tant qu’assistante de laboratoire en audiovisuel et computation physique.";;;;;;;
2011;EXHIBIT;Ethnographic Terminalia;/EXHIBITS/2011/Ethnographic_Terminalia;;;Ethnographic Terminalia;;"Ethnographic Terminalia is an exhibition of over 20 local, national, and international artists who work at the intersection of art and anthropology.
This is an initiative to bring contemporary art practices in closer proximity to forms of anthropological inquiry.

The terminus is the end, the boundary, and the border; of course the terminus is also a beginning as well as its own place, its own site of experience and encounter. A wide spectrum of works that range from video and film, to site-specific installations, material culture and sculptural works, as well as trans-national collaboration, sound art, and photographic installations will be presented.";"Ethnographic Terminalia est une exposition rassemblant plus de 20 artistes d’ici et d’ailleurs qui travaillent à l’intersection de l’art et de l’anthropologie.

C’est en fait une initiative pour rapprocher les pratiques de l’art contemporain à la recherche anthropologique.

Le terminus est la fin, la limite ou la frontière mais c’est aussi le commencement ainsi que sa bonne place, son propre site d’expériences et de rencontres.

Un vaste spectre d’œuvres allant de la vidéo et du film aux installations, matériaux et sculptures, art du son et installations photographiques sera présenté.";;;;;;;
2011;EXHIBIT;LUMIN: IMCA Undergraduate Exhibit;/EXHIBITS/2011/Lumin-IMCA-499;;;LUMIN: Exposition du premier cycle d'IMCA;;"Lumin is a group show highlighting work by emerging undergraduate artists engaged in interdisciplinary and digital media practices.

The works explore the experiential, the performative, and the interactive in installation art, drawing on the unifying theme of light, and it's cohort, illumination. From the warm nostalgic glow of the TV screen to the vivid images created by sound and movement alone, the works examine notions of what illumination can mean; experimentation, research and knowledge, fictional imaginings, immersive spaces, the studio as workshop, the workshop as stage, the stage as experimentation.

";"Lumin est une exposition collective d’artistes émergents du programme IMCA de l’Université Concordia.

Les œuvres explorent l’expérientiel, le performatif et l’interactivité sous un même thème de la lumière et de l’illumination. De la lueur nostalgique du téléviseur aux images créées par le son et le mouvement comme tels, les œuvres examinent les notions de ce que signifie l’illumination : l’expérimentation, la recherche, la connaissance, les images fictives, les espaces immersifs, le studio comme atelier, le studio comme scène, la scène comme lieu d’expérimentation.

de ce que signifie l’illumination : l’expérimentation, la recherche, la connaissance, les images fictives, les espaces immersifs, le studio comme atelier, le studio comme scène, la scène comme lieu d’expérimentation.Lumin est une exposition collective d’artistes émergents du programme IMCA de l’Université Concordia.

Les œuvres explorent l’expérientiel, le performatif et l’interactivité sous un même thème de la lumière et de l’illumination. De la lueur nostalgique du téléviseur aux images créées par le son et le mouvement comme tels, les œuvres examinent les notions de ce que signifie l’illumination : l’expérimentation, la recherche, la connaissance, les images fictives, les espaces immersifs, le studio comme atelier, le studio comme scène, la scène comme lieu d’expérimentation.

";;;;;;;
2011;EXHIBIT;Philippe Cool;/EXHIBITS/2011/Philippe_Cool;;;Philippe Cool;Philippe Cool;Local emerging artist Philippe Cool has created an interactive labyrinth of mechanical sculptures and installations. Through his use of discarded electronics, recycled materials and outdated apparatuses, the artist makes a world of curiosities come to life. Cool's work questions the power dynamics that exist between creator and user, and questions the nature of a prototypical society.  ;"L'artiste local émergent, Philippe Cool crée un labyrinthe interactif et dévorant de sculptures et d’installations mécaniques. Il utilise de l’électronique abandonnée, du matériel recyclé et des appareils dépassés afin d’animer un monde curieux et bizarre. À travers l’optique d’une société prototypique, ses œuvres mettent en question le jeu de pouvoir entre le créateur et l’utilisateur. 
";;;;;;;
2012;EXHIBIT;2000 Watts: IMCA Undergraduate Exhibit;/EXHIBITS/2012/2000_WATTS-IMCA-499;;;2000 Watts: : Exposition du premier cycle d'IMCA;"KIM BARR
JOSÉE BROUILLARD
LAURA CHARBONNEAU
JP CHARLEBOIS
MARTIN LEMIEUX
JEANNE-RENÉ D. LORRAIN
ADAM MILLER
ANN MILLIGAN
NEAL MOIGNARD
TRACY VALCARCEL";"""2000 Watts"" is a group exhibit of the graduating students in the InterMedia/CyberArts program at Concordia University.
2000 is the total combined wattage utilized by the twelve projectors used to amplify the motifs of the exhibiting artists in their performative, sculptural and cinematic artworks. These artists look into their past in order to reconcile the present and build towards the future, pushing bravely forward into the light, with the light.";"« 2000 Watts » est une exposition des étudiants graduant du programme InterMedia/CyberArts de l'Université Concordia.
Le nombre 2000 est en fait la puissance totale utilisée par les douze projecteurs qui servent à amplifier les motifs des artistes exposants leur oeuvres performatives, sculpturales et cinématiques. Ces artistes regardent dans leur passé afin de se réconcilier avec le présent et ainsi construire leur futur, poussant courageusement de l'avant vers la lumière, avec la lumière. ";;;;;;;
2012;EXHIBIT;By Hook or by Crook: FBRS 480 Exhibit;/EXHIBITS/2012/Fibres_480;;;By Hook or by Crook: Exposition de FBRS 480 ;"Jessica Bélanger
Tanya Bernleithner
Munirih Campbell
Sandra Chirico
Jules Desmarais
Selina Doroshenko
Karen Lampcov
Véronique Leblanc
Courtenay Mayes
Emily McIntyre
Ali Moenck
Lauren Osmond
Diana Pèrez
Cedar-Eve Peters
Jodi Sharp
Janna Vallée";"""By Hook or By Crook,"" a group exhibit of Concordia students, is a diversified marriage of practices and approaches that expand on the possibilities of fibre art.
Contemporary reinterpretations of fibre are a veritable explosion of known boundaries. The environment created questions various themes, such as the body and its functions, identity, mark-making, traces and labour practices. Above all, fibre implicates a research of materiality and texture that is prominent throughout this show.";"« By Hook or By Crook », est une exposition d'étudiants de l'Université Concordia qui marie les pratiques et les approches de l'art textile en explorant et développant les possibilités offertes par ce type d'art.

Les réinterprétations contemporaines du textile qui y sont présentées sont une véritable explosion des frontières communes. L'environnement ainsi créé questionne différents thèmes, comme le corps et ses fonctions, l'identité, le « mark-making », les traces et les pratiques du travail. Et surtout, l'usage de tissu implique une recherche de matérialité et de texture, qui se sent à travers toute l'exposition.";;;;;;;
2012;EXHIBIT;Centre Turbine;x;;;Centre Turbine;;In May and June, the Centre Turbine initiated the first mobile Fab Lab, an innovative and experimental platform, dedicated to cultural mediation projects. ;En mai et juin, le Centre Turbine a lancé le premier Fab Lab mobile, une plateforme innovatrice et expérimentale, dédiée aux projets de médiation culturelle.;;;;;;;
2012;EXHIBIT;CONCLUSIONS: Photography collective Exhibit;x;;;CONCLUSIONS: Collectif de Photographie;"Aaliyeh Afshar
Matt Ayote
Darcy Cooke
Burcu Emeç
Léa Grantham
Linnea Gwiazda
Edwin Isford
Maria I Kapovska
Pamela Marcus
Josée Schryer
Adam Simms
Katai Stienstra e
Damien Verhagen";;"Le collectif de photographie de Concordia est fier de présenter sa première exposition d’œuvres sélectionnées par un jury, avec la participation d’étudiants du premier cycle, sur le thème de « Conclusions ». De la critique de l’énergie nucléaire à la contemplation adolescente, le collectif met de l’avant une variété d’œuvres photographiques qui représentent les moments clés d’une vie : les débuts et les fins. 

Jury : Johanne Biffi, Jake Moore et David J. Romero
";;;;;;;
2012;EXHIBIT;DNP;/EXHIBITS/2012/DNP;;;DNP;;"Département des Nuisances Publiques (D.N.P.) is an experiment in collaborative art making, public intervention politics and experimental documentation practices. Initiated in 2011, DNP stems from an interest to investigate – through intervention and documentation-based practices – the interruption of our public routines and the limits of personal space.

This year, the D.N.P. artists have created an apparatus, Anonymous Apparatus, which affords its user a strangely double-edged anonymity: on the one hand, their identity is hidden and their autonomy protected by a two-way audio and video capture; on the other hand, the act of being visually anonymous amongst a sea of onymous (i.e. publicly identifiable) individuals has the effect of drawing an extreme amount of scrutiny due to the uncanny nature of the persona. The user is anonymous, but far from incognito.

The device was developed as a tool which can be used by any member of the public for the exploration of autonomy and anonymity, of the sort inherent to the Internet, in the real context of daily life. It is accompanied by a web platform, Constitution Pro, hosted on the deep web, which allows the potential user to itemize a personally ideal set of rights and values; a constitution which they will attempt to embody during their use of the apparatus. Each item is then shared as an option for other users and ultimately, visualized as a network of relationships between each user’s ideal political reality, conflicts and all.

These two projects engage a wealth of ideas relating to art, technology, surveillance, sousveillance and political self-determinance.";"Le Département des Nuisances Publiques (D.N.P.) est une expérience de création collective et d’interventions publiques politisées impliquant un processus de documentation expérimental. Initié en 2011, D.N.P. doit son apparition à une démarche d’exploration visant l’interruption de nos comportements habituels dans l’espace public et les limites de l’espace personnel et ce, à travers l’emploi de pratiques artistiques marquées par l’intervention et la documentation.

Cette année, les artistes du D.N.P ont créé un appareillage, Anonymous Apparatus, permettant à son utilisateur d’occasionner les conditions d’anonymat dans la sphère publique. Outil à double tranchant, l'identité de celui-ci acquiert son statut de privée, grâce à une capture vidéo diffusée à l’intérieur du dispositif, mais cette recherche de perte d’identité relatif au dividu à l’intérieur d’un contexte collectif et social a pour effet d'attirer le regard (sans mentionner le mécontentement) et générer le malaise d’être confronté à cette nature d’inquiétante étrangeté relié à la négation de la “persona”. L’usager est donc ici anonyme mais loin d’être incognito.

Le dispositif a été conçu comme outil pouvant être utilisé par n'importe quel individu afin d'explorer l’anonymat public, inhérent à l'Internet, dans un contexte de vie quotidienne. Le projet est accompagné d'un site web, Constitution Pro, hébergé sur le “Deep Web” qui permet à l'usager de détailler un idéal de droits et de valeurs à travers une constitution personnelle, qu’ils pourront incarner au cours de leur utilisation de l'appareil. Chaque élément est ensuite partagé en tant qu'option pour les utilisateurs et visualisé à travers un réseau de relations entre les idéaux de chaque utilisateur, relatif à un contexte politique, les conflits sociaux qui en découlent, leur rupture envers le contrat social ou sa redéfinition.

Ces deux oeuvres enclenchent donc une mine d'idées relatives à l'art, la technologie, la surveillance, la sousveillance et la politique d'auto-déterminance.";;;;;;;
2012;EXHIBIT;Faux Lab;/EXHIBITS/2012/Faux_Lab ;;;Faux Lab;"MAXSTER
LEGIONLABS
F^X
MEMBERS OF FOULAB";"FAUX LAB, an exhibition of recent works by members of Les Laboratoires Foulab – a hackerspace based in the St. Henri neighbourhood of Montreal, aims to demonstrate the work of hackers, the mad scientists of the maker world, whose work is steeped in a DIY ethos. Whether interactive, circuit or electro-mechanic based, the projects presented question the limits of science and art, and put into question the position of hackers as hobbyists. The projects provoke the user to examine the implications of the use of common communication tools – devices like our personal computers or iPhones – illuminating their fluid integration in our daily lives. The exhibit further pursues the perceived sense of anonymity and isolation these tools facilitate and/or create.

Throughout the exhibit, each installation explores ideas of obsolescence and the inherent beauty in our discarded technologies. The binaries at play between function and beauty, hacker and artist, invisible information and visible objects, led the curators of the exhibit – Eliane Ellbogen and Amber Berson – to imagine a simulated lab space within Eastern Bloc’s gallery walls. On the one hand, the exhibit aims to mimic the chaos that typically reigns at Foulab, be it discarded electronics, soldering equipment or computer parts; on the other hand, by means of a web of wires connecting the installations to sheets of code, the curators’ goal is to make sense of the mysterious devices which were taken apart and pieced together by Foulab’s hackers. The members of Foulab, motivated by aspects of reusing and repurposing ‘obsolete’ technologies, invite the viewer to take a new look at the ubiquity of electronics.";"FAUX LAB, une exposition collective des membres des Laboratoires Foulab – un hackerspace basé à Montréal dans le quartier de Saint-Henri, présente le travail de « hackers », imprégné de la culture du « Do It Yourself ». Que ce soit des installations interactives, électroniques ou électromécaniques, les projets présentés lors de cette exposition questionnent la frontière entre la science et l’art. Ils soulignent les implications de l’utilisation des outils de communication – comme l’ordinateur ou l’iPhone – faisant désormais partie intégrante de notre quotidien, mettant notamment en lumière l'anonymat et l’isolation des individus dans l’ère numérique.

Au fil du parcours de l’exposition, chaque installation met au défi le concept d'obsolescence, et questionne la beauté innée des appareils utilisés. Les dualités en jeu – entre fonctionnalité et beauté, hacker et artiste, données invisibles et objets visibles – ont amené les commissaires de l'exposition, Eliane Ellbogen et Amber Berson, à recréer l'espace d'un laboratoire à l’intérieur même de la galerie Eastern Bloc. La scénographie de l'exposition permet ainsi au spectateur d'évoluer à travers l'univers chaotique caractéristique de chez Foulab, dont le laboratoire est jonché de matériel électronique, d'appareils à souder ou d'ordinateurs désossés ; d'un autre côté, grâce à un réseau de câbles reliant les installations à des lignes de code, le but des commissaires est de donner une cohérence aux mystérieuses machines qui ont été démontées puis réassemblées par les hackers de Foulab. Leur goût de la réutilisation et du bricolage mis à l'œuvre nous fait porter un nouveau regard sur l’électronique.";;;;;;;
2012;EXHIBIT;Import Export;/EXHIBITS/2012/Import_Export;;;Import Export;Craig Fahner;"Import / Export is Craig Fahner's first major solo exhibit. The works included in this exhibit speak to the artist’s desire to quantify and qualify an emotional exchange. At the root, this is an exchange of energy, and Fahner’s interpretation of this objectified interaction is translated into a re-imagining of the way that technology is experienced. Specifically, the work is an exploration into the way the spectator’s sensory aural perception is influenced vis-à-vis a reinterpretation of the musical instrument.

The words ‘import’ and ‘export’ evoke the notion of trade, of commerce, and of goods crossing borders. However, beyond the mere exchange of commercial goods, ‘import’ and ‘export’ evoke a sense of movement, of information being exchanged, of the immaterial flow of data. Fahner’s work succeeds in connecting the immaterial nature of an emotional exchange to the material nature of a visceral experience. Together, the four works presented in Import / Export reveal the quantifiable aspects embedded in an exchange – emotional or visceral – as well as the commodification of the human-machine interaction. Alternator is a performative distillation of energy. Making use of homemade devices that convert vibration into electrical current, Fahner stores the emotional output of various durational performative gestures into batteries. Each battery contains a different visceral procedure – beating a drum, riding a bicycle over potholes, throwing his body into a wall – as indicated by the labels on the batteries themselves. The amount of electricity that these gestures create is relatively small, yet their emotional significance is large. It is Fahner's hope that these objects will in some way contain the spirit of the actions that produced them, and that the use of this energy will facilitate some transference of that spirit.";"Import / Export est la première exposition solo majeure de Craig Fahner. Les travaux, présentées parlent de sa volonté de quantifier et de qualifier un échange émotionnel. À l'origine, il s'agit d'un échange d'énergie, et l'interprétation de Craig à propos de cette interaction objectivée se traduit par une ré-imagination de la manière dont la technologie est expérimentée. Plus précisément, son travail est une exploration de la façon dont la perception auditive et sensorielle du spectateur est influencée vis-à-vis d'une réinterprétation de l'instrument de musique.

Les mots « importation » et « exportation » évoquent la notion de commerce, des marchandises qui franchissent les frontières. Cependant, au-delà du simple échange de marchandises, « Import » et « Export » évoquent un sentiment de mouvement, d'informations qui sont échangées et de flux de données immatérielles qui se déplacent. Le travail de Fahner réussit à relier la nature immatérielle d'un échange affectif à celle d'une expérience viscérale. Ensemble, les quatre œuvres présentées dans Import / Export révèlent les aspects quantifiables embarqués dans un échange – affectif ou viscérale – ainsi que la marchandisation de l'interaction homme-machine. Alternator est une distillation performative d’énergie. En utilisant des dispositifs faits maison qui convertissent la vibration en courant électrique, Fahner a mis en banque des gestes performatifs de diverses durées dans des batteries. Chaque batterie contient une procédure viscérale différente – jouer de la batterie, rouler à vélo au-dessus d’un nid-de-poule, se jeter contre un mur – tel qu’indiqué par les étiquettes sur les batteries. La quantité d’électricité que ces gestes créent est relativement petite ; pourtant leur signification émotionnelle est grande. C’est l'espoir de Fahner que ces objets vont d’une certaine manière contenir l’esprit des actions qui les ont produits, et que l’utilisation de cette énergie facilitera le transfert de cet esprit.";;;;;;;
2012;EXHIBIT;It Started with a Simple Question;/EXHIBITS/2012/it_started_w_a_simple_question;;;Tout a commencé par une question simple;"John Badalu
LaurenceBrunelle-Côté
Katie Earle
Nidal El-khairy
Kandis Friesen
MacJess
Markus Lake
JJ Levine
Imelda Mandala
Loren March
Net Net Net Nwel
FrançoisPedneault
Jonaz Slovanski
Hnin Su mon
Chloe Surprenant";;;;;;;;;
2012;EXHIBIT;Room Dynamics;/EXHIBITS/2012/Adam-Basanta-Thesis;;;Room Dynamics;Adam Basanta;"""Room Dynamics,"" Basanta's Master's thesis project, is a multi-modal, modular composition exploring perceptual and affective states arising from the interactions of dynamic media architectures and the material architectures within which they are embedded. A site-responsive audiovisual architecture marked by 12 points of light and sound - each consisting of an incandescent light bulb and corresponding speaker - bisects the space vertically and horizontally, immersing spectators while remaining permeable.

The resulting architectural contour manifests dynamic behavioural states ranging between individual activities and collective operation, leaving a trace on its surroundings: reshaping its appearance and volume, creating movement and perspectival changes. Through the temporal development of this audiovisual architecture, supplemented by dynamic ambient lighting and tactile vibration, the gallery space is activated: making available architectural features, articulating navigable pathways, colouring and shading the experiential space through which the spectator navigates.";"« Room Dynamics », le projet de maîtrise de Basanta, est une composition multimodale explorant les états perceptifs et affectifs qui sont soulevés par l'interaction entre des architectures médiatiques dynamiques et les architectures matérielles dans lesquelles elles sont contenues. L'architecture audiovisuelle est sensible au mouvement, et marquée par 12 points de lumière et de son – chacun consistant en une ampoule incandescente et un haut parleur – qui divisent l'espace horizontalement et verticalement, immergeant ainsi le spectateur tout en restant perméable.

Le contour architectural qui en résulte manifeste des états comportementaux dynamiques, allant de l'activité individuelle à des mouvements collectif. Il laisse également une trace dans l'environnement: en remodelant son apparence et son volume ou encore par une création de mouvement et de changements de perspectives. À travers le développement temporel de cette architecture audiovisuelle, additionnée d'un éclairage dynamique ambiant et de vibration, l'espace de la galerie s'active: rendant visible les caractéristiques architecturales, articulant les parcours navigables et colorant et obscurcissant l'espace à travers lequel le spectateur se déplace.";;;;;;;
2012;EXHIBIT;Temporary Archive, The;x;;;Archive Temporaire, L';Kelly Jaclynn Andres;"The Temporary Archive explores the overlap between the imagined, the speculative, the subjective, the “experiment” and the sensitive nature of working between site, technical processes, material-objects, and living organisms. The work combines digital and biological reproduction to echo complex symbiotic relationships between animals, plants, environments and objects.

Numerous organic cultures and objects are collected from a specific site (for example La Ville Souterraine, the rhizomatic underground mall in downtown Montreal), tagged and digitally scanned using a 3D scanner. Both the contents of the field-work and physical aspects of the geographical site from which the collection is formed are digitally modeled and printed in 3D to develop three miniature environments that function as hybrid models. Each object, microorganism or plant subject collected from the site is conceptually linked in the development of a network-narrative and is repositioned or propagated in a sterile vessel (one of three glass rectangular prisms). The scaffolding for the cultures to grow upon inside the model environments (the architectures) are sourced from the site visits, images and maps collected, which will be modeled in 3D software and printed.";"L’Archive temporaire explore la relation entre l’imaginaire, le spéculatif, le subjectif, l’expérimentation ainsi que la nature sensible du travail entre le lieu, les procédés techniques, les objets-matériaux et les organismes vivants. L’oeuvre combine la reproduction numérique et biologique dans le but de refléter les relations symbiotiques complexes qui existent entre les animaux, les plantes, les environnements et les objets.

De nombreuses cultures biologiques sont recueillies à partir d’un lieu spécifique (par exemple la Ville Souterraine - le centre commercial rhizomatique qui occupe le centre-ville souterrain) et sont ensuite étiquetées et numérisées à l’aide d’un scanner 3D. Le contenu du travail sur le terrain, ainsi que les aspects physiques du lieu de provenance de la collection, sont modélisés numériquement et imprimés en 3D afin de développer trois environnements miniatures qui feront office de modèles hybrides. Chaque objet, microorganisme ou plante recueilli du site est lié conceptuellement dans le développement d’un réseau narratif et se propage à l’intérieur d’un récipient stérile (un parmi trois prismes de verre de forme rectangulaire). L’échafaudage sur lequel les cultures croitront à l’intérieur des environnements modèles provient des visites du lieu, des images et des cartes géographiques collectionnées et sera modélisé ainsi qu’imprimé à l’aide de logiciels 3D.";;;;;;;
